#翻译
dailySheetName	韩国日报
商城道具	보석 죽청(1레벨)','보석 지향(1레벨)','보석 유귤(1레벨)','보석 담천(1레벨)','보석 묵륜(1레벨)','보석 염분(1레벨)','보석 혼돈(1레벨)','보석 무상(1레벨)','보석 마연(1레벨)','보석 죽청(2레벨)','보석 지향(2레벨)','보석 유귤(2레벨)','보석 담천(2레벨)','보석 묵륜(2레벨)','보석 염분(2레벨)','보석 혼돈(2레벨)','보석 무상(2레벨)','보석 마연(2레벨)','보석 죽청(3레벨)','보석 지향(3레벨)','보석 유귤(3레벨)','보석 담천(3레벨)','보석 묵륜(3레벨)','보석 염분(3레벨)','보석 혼돈(3레벨)','보석 무상(3레벨)','보석 마연(3레벨)','보석 죽청(4레벨)','보석 지향(4레벨)','보석 유귤(4레벨)','보석 담천(4레벨)','보석 묵륜(4레벨)','보석 염분(4레벨)','보석 혼돈(4레벨)','보석 무상(4레벨)','보석 마연(4레벨)','보석 죽청(5레벨)','보석 지향(5레벨)','보석 유귤(5레벨)','보석 담천(5레벨)','보석 묵륜(5레벨)','보석 염분(5레벨)','보석 혼돈(5레벨)','보석 무상(5레벨)','보석 마연(5레벨)','보석 죽청(6레벨)','보석 지향(6레벨)','보석 유귤(6레벨)','보석 담천(6레벨)','보석 묵륜(6레벨)','보석 염분(6레벨)','보석 혼돈(6레벨)','보석 무상(6레벨)','보석 마연(6레벨)','보석 죽청(7레벨)','보석 지향(7레벨)','보석 유귤(7레벨)','보석 담천(7레벨)','보석 묵륜(7레벨)','보석 염분(7레벨)','보석 혼돈(7레벨)','보석 무상(7레벨)','보석 마연(7레벨)','보석 죽청(8레벨)','보석 지향(8레벨)','보석 유귤(8레벨)','보석 담천(8레벨)','보석 묵륜(8레벨)','보석 염분(8레벨)','보석 혼돈(8레벨)','보석 무상(8레벨)','보석 마연(8레벨)','보석 죽청(9레벨)','보석 지향(9레벨)','보석 유귤(9레벨)','보석 담천(9레벨)','보석 묵륜(9레벨)','보석 염분(9레벨)','보석 혼돈(9레벨)','보석 무상(9레벨)','보석 마연(9레벨)','감정부','명각부','연성부','영수내단','연요석

银子类道具	은량의','은 조각','은괴','은정','은 벽돌','일반 보너스','백은 보너스','황금 보너스','백금 보너스','다이아몬드 보너스','호송 은(백)','호송 은(녹)','호송 은(남)','호송 은(자)','호송 은(등)','호송 금(백)','호송 금(녹)','호송 금(남)','호송 금(자)','호송 금(등)','옥 호송(백)','옥 호송(녹)','옥 호송(남)','옥 호송(자)','옥 호송(등)
宠物蛋	지옥랑왕 알','청구 요괴 여우 알','절세 꽃 요괴 알','패도마왕 알','흑풍곰정 알','금갑유신 알','경천우신 알','육이미후 알','기린성조 알','백호전신 알','청용두신 알','현무수신 알','주작화신 알','구음마 전갈 알','청익복왕 알','난무 나비 요괴 알','나찰귀왕 알','사혈검혼 알','천년삼요 알','뇌정천존 알','소용인 알
飞行坐骑	사랑의 현무','낭만금생','벽허청란','팔괘선포','몽동선학','건곤호로','금급용황','분염화선','심연마장','벽허청란(1일)','벽허청란(7일)
重要碎片	청란령우','주작화우','전화 조각','재자 인기','무성 인기','무성인기 조각','청룡 정혼','주작 정혼','백호 정혼','현무 정혼','기린 정혼
万灵榜装备	맹지고상재','오악도위경','일요탐랑 투구','수면탄화 갑옷','혈혼 어깨갑옷','자성 손목 보호','자성 전투화','자성 허리띠','천상계','왕천고옥','태극도','천일위일조','치우폭포쇄','꽃 요괴파군 투구','도린도철 갑옷','황린 어깨갑옷','둔용 손목 보호','둔용 전투화','둔용 허리띠','명천계','피사석옥','파천도','채봉쌍비익','풍소역수한','동급현 금조','동급현 금삼','동급현 금어깨','동급현 금수','동급현 금화','적혈','서령계','부세인','전공','명월조구주','승영무형사','청명해 옥조','청명해 옥삼','청명해 옥어깨 갑옷','청명해 옥수','천요멸혼 신발','잔설','자방계','창천인','현희','점정용파벽','현천참령락','소북염극두','소북염극요','소북염극 어깨받이','이수 장갑','이수 경이','이수 장신구','화용정','화용 목걸이','역앙경','발묵벽단청','혈정마가혹','해수강애두','해수강애요','해수강애 어깨받이','현빙 장갑','현빙 경이','현빙 장신구','파라계','파라 목걸이','현빙경','일세일고영','본래무일무','건곤지리 사두','건곤지리 치마','천환 주건','천환 갈완','천환 도이','천환 허리띠','봉마계','락혼종','독왕정','봉가초광인','취고당검소','구려태허 사두','구혀태허삼','교용 주건','교용 갈완','교용 목리','교용 허리띠','만마계','곤목고','별 나침반','주작 도끼','무성선장','전화 갑옷','주작자','무성륜','전화삼','주작필','무성검','전꽃 요괴','주작번','무성장','전화 망의
酒	행화촌','도소주','묘심약주
屠魔帖	도마첩●강마','도마첩●소요','도마첩●패자','도마첩●주작','도마첩●수정','도마첩●의천','도마첩●청홍','도마첩●적소','도마첩●진천','도마첩●천강
古董	골동품

무환백용 도끼	武幻百龙斧
천추서천 투구	天枢噬天战盔
천추서천 갑옷	天枢噬天甲胄
천추서천 어깨 갑옷	天枢噬天肩铠
천추서천 손목 보호	天枢噬天护手
천추서천 중화	天枢噬天重靴
천추서천 요패	天枢噬天腰佩
천추서천 반지	天枢噬天指环
천추서천 천정	天枢噬天天晶
천추서천 벽훈	天枢噬天碧勋
옥세잔빙 선장	傲世残冰禅杖
천현서천 투구	天璇噬天战盔
천현서천 갑옷	天璇噬天甲胄
천현서천 어깨 갑옷	天璇噬天肩铠
천현서천 손목 보호	天璇噬天护手
천현서천 중화	天璇噬天重靴
천현서천 요패	天璇噬天腰佩
천현서천 반지	天璇噬天指环
천현서천 천정	天璇噬天天晶
천현서천 벽훈	天璇噬天碧勋
단악경천 도끼	断岳擎天斧
천기서천 투구	天玑噬天战盔
천기서천 갑옷	天玑噬天甲胄
천기서천 어깨 갑옷	天玑噬天肩铠
천기서천 손목 보호	天玑噬天护手
천기서천 중화	天玑噬天重靴
천기서천 요패	天玑噬天腰佩
천기서천 반지	天玑噬天指环
천기서천 천정	天玑噬天天晶
천기서천 벽훈	天玑噬天碧勋
문천운요 선장	问天陨妖禅杖
천권서천 투구	天权噬天战盔
천권서천 갑옷	天权噬天甲胄
천권서천 어깨 갑옷	天权噬天肩铠
천권서천 손목 보호	天权噬天护手
천권서천 중화	天权噬天重靴
천권서천 요패	天权噬天腰佩
천권서천 반지	天权噬天指环
천권서천 천정	天权噬天天晶
천권서천 벽훈	天权噬天碧勋
충무육혼 도끼	忠武戮魂斧
옥형서천 투구	玉衡噬天战盔
옥형서천 갑옷	玉衡噬天甲胄
옥형서천 어깨 갑옷	玉衡噬天肩铠
옥형서천 손목 보호	玉衡噬天护手
옥형서천 중화	玉衡噬天重靴
옥형서천 요패	玉衡噬天腰佩
옥형서천 반지	玉衡噬天指环
옥형서천 천정	玉衡噬天天晶
옥형서천 벽훈	玉衡噬天碧勋
한광옥마 선장	寒光狱魔禅杖
개양서천 투구	开阳噬天战盔
개양서천 갑옷	开阳噬天甲胄
개양서천 어깨 갑옷	开阳噬天肩铠
개양서천 손목 보호	开阳噬天护手
개양서천 중화	开阳噬天重靴
개양서천 요패	开阳噬天腰佩
개양서천 반지	开阳噬天指环
개양서천 천정	开阳噬天天晶
개양서천 벽훈	开阳噬天碧勋
건건무겁 도끼	乾坤无极斧
요광서천 투구	摇光噬天战盔
요광서천 갑옷	摇光噬天甲胄
요광서천 어깨 갑옷	摇光噬天肩铠
요광서천 손목 보호	摇光噬天护手
요광서천 중화	摇光噬天重靴
요광서천 요패	摇光噬天腰佩
요광서천 반지	摇光噬天指环
요광서천 천정	摇光噬天天晶
요광서천 벽훈	摇光噬天碧勋
호한수천 선장	浩瀚修天禅杖
현월서천 투구	玄月噬天战盔
현월서천 갑옷	玄月噬天甲胄
현월서천 어깨 갑옷	玄月噬天肩铠
현월서천 손목 보호	玄月噬天护手
현월서천 중화	玄月噬天重靴
현월서천 요패	玄月噬天腰佩
현월서천 반지	玄月噬天指环
현월서천 천정	玄月噬天天晶
현월서천 벽훈	玄月噬天碧勋
어법빙천 도끼	御法冰天斧
요일서천 투구	曜日噬天战盔
요일서천 갑옷	曜日噬天甲胄
요일서천 어깨 갑옷	曜日噬天肩铠
요일서천 손목 보호	曜日噬天护手
요일서천 중화	曜日噬天重靴
요일서천 요패	曜日噬天腰佩
요일서천 반지	曜日噬天指环
요일서천 천정	曜日噬天天晶
요일서천 벽훈	曜日噬天碧勋
치우혈광 선장	蚩尤血狂禅杖
의천서천 투구	倚天噬天战盔
의천서천 갑옷	倚天噬天甲胄
의천서천 어깨 갑옷	倚天噬天肩铠
의천서천 손목 보호	倚天噬天护手
의천서천 중화	倚天噬天重靴
의천서천 요패	倚天噬天腰佩
의천서천 반지	倚天噬天指环
의천서천 천정	倚天噬天天晶
의천서천 벽훈	倚天噬天碧勋
왕선탄마 도끼	忘仙吞魔斧
왕선서천 투구	忘仙噬天战盔
왕선서천 갑옷	忘仙噬天甲胄
왕선서천 어깨 갑옷	忘仙噬天肩铠
왕선서천 손목 보호	忘仙噬天护手
왕선서천 중화	忘仙噬天重靴
왕선서천 요패	忘仙噬天腰佩
왕선서천 반지	忘仙噬天指环
왕선서천 천정	忘仙噬天天晶
왕선서천 벽훈	忘仙噬天碧勋
봉천두법자	封天斗法刺
천추영무 면갑	天枢影舞面甲
천추영무 경갑	天枢影舞轻甲
천추영무 어깨 갑옷	天枢影舞肩甲
천추영무 장갑	天枢影舞手甲
천추영무 장화	天枢影舞长靴
천추영무 부적	天枢影舞符咒
천추영무 인환	天枢影舞刃环
천추영무 천사	天枢影舞天邪
천추영무 혈안	天枢影舞血眼
천겁음혈륜	天劫饮血轮
천현영무 면갑	天璇影舞面甲
천현영무 경갑	天璇影舞轻甲
천현영무 어깨 갑옷	天璇影舞肩甲
천현영무 장갑	天璇影舞手甲
천현영무 장화	天璇影舞长靴
천현영무 부적	天璇影舞符咒
천현영무 인환	天璇影舞刃环
천현영무 천사	天璇影舞天邪
천현영무 혈안	天璇影舞血眼
승성건곤자	乘圣乾坤刺
천기영무 면갑	天玑影舞面甲
천기영무 경갑	天玑影舞轻甲
천기영무 어깨 갑옷	天玑影舞肩甲
천기영무 장갑	天玑影舞手甲
천기영무 장화	天玑影舞长靴
천기영무 부적	天玑影舞符咒
천기영무 인환	天玑影舞刃环
천기영무 천사	天玑影舞天邪
천기영무 혈안	天玑影舞血眼
광령멸사륜	狂灵灭杀轮
천권영무 면갑	天权影舞面甲
천권영무 경갑	天权影舞轻甲
천권영무 어깨 갑옷	天权影舞肩甲
천권영무 장갑	天权影舞手甲
천권영무 장화	天权影舞长靴
천권영무 부적	天权影舞符咒
천권영무 인환	天权影舞刃环
천권영무 천사	天权影舞天邪
천권영무 혈안	天权影舞血眼
이노마황자	离怒魔皇刺
옥형영무 면갑	玉衡影舞面甲
옥형영무 경갑	玉衡影舞轻甲
옥형영무 어깨 갑옷	玉衡影舞肩甲
옥형영무 장갑	玉衡影舞手甲
옥형영무 장화	玉衡影舞长靴
옥형영무 부적	玉衡影舞符咒
옥형영무 인환	玉衡影舞刃环
옥형영무 천사	玉衡影舞天邪
옥형영무 혈안	玉衡影舞血眼
벽해경천륜	碧海惊天轮
개양영무 면갑	开阳影舞面甲
개양영무 경갑	开阳影舞轻甲
개양영무 어깨 갑옷	开阳影舞肩甲
개양영무 장갑	开阳影舞手甲
개양영무 장화	开阳影舞长靴
개양영무 부적	开阳影舞符咒
개양영무 인환	开阳影舞刃环
개양영무 천사	开阳影舞天邪
개양영무 혈안	开阳影舞血眼
건곤화령자	乾坤化灵刺
요광영무 면갑	摇光影舞面甲
요광영무 경갑	摇光影舞轻甲
요광영무 어깨 갑옷	摇光影舞肩甲
요광영무 장갑	摇光影舞手甲
요광영무 장화	摇光影舞长靴
요광영무 부적	摇光影舞符咒
요광영무 인환	摇光影舞刃环
요광영무 천사	摇光影舞天邪
요광영무 혈안	摇光影舞血眼
여의다정륜	如意多情轮
현월영무 면갑	玄月影舞面甲
현월영무 경갑	玄月影舞轻甲
현월영무 어깨 갑옷	玄月影舞肩甲
현월영무 장갑	玄月影舞手甲
현월영무 장화	玄月影舞长靴
현월영무 부적	玄月影舞符咒
현월영무 인환	玄月影舞刃环
현월영무 천사	玄月影舞天邪
현월영무 혈안	玄月影舞血眼
귀옥역천자	鬼狱释天刺
요일영무 면갑	曜日影舞面甲
요일영무 경갑	曜日影舞轻甲
요일영무 어깨 갑옷	曜日影舞肩甲
요일영무 장갑	曜日影舞手甲
요일영무 장화	曜日影舞长靴
요일영무 부적	曜日影舞符咒
요일영무 인환	曜日影舞刃环
요일영무 천사	曜日影舞天邪
요일영무 혈안	曜日影舞血眼
용봉오천륜	龙凤傲天轮
의천영무 면갑	倚天影舞面甲
의천영무 경갑	倚天影舞轻甲
의천영무 어깨 갑옷	倚天影舞肩甲
의천영무 장갑	倚天影舞手甲
의천영무 장화	倚天影舞长靴
의천영무 부적	倚天影舞符咒
의천영무 인환	倚天影舞刃环
의천영무 천사	倚天影舞天邪
의천영무 혈안	倚天影舞血眼
왕선금마자	忘仙禁魔刺
왕선영무 면갑	忘仙影舞面甲
왕선영무 경갑	忘仙影舞轻甲
왕선영무 어깨 갑옷	忘仙影舞肩甲
왕선영무 장갑	忘仙影舞手甲
왕선영무 장화	忘仙影舞长靴
왕선영무 부적	忘仙影舞符咒
왕선영무 인환	忘仙影舞刃环
왕선영무 천사	忘仙影舞天邪
왕선영무 혈안	忘仙影舞血眼
호혈야마번	昊血夜魔幡
천추구유 사두	天枢九幽蛇兜
천추구유 망의	天枢九幽蟒衣
천추구유 주건	天枢九幽蛛巾
천추구유 갈완	天枢九幽蝎腕
천추구유 봉화	天枢九幽蜂靴
천추구유 공옥	天枢九幽蚣玉
천추구유 영혼 반지	天枢九幽魂戒
천추구유 천잠	天枢九幽天蚕
천추구유 명령	天枢九幽螟灵
유염망량장	幽念魍魉杖
천현구유 사두	天璇九幽蛇兜
천현구유 망의	天璇九幽蟒衣
천현구유 주건	天璇九幽蛛巾
천현구유 갈완	天璇九幽蝎腕
천현구유 봉화	天璇九幽蜂靴
천현구유 공옥	天璇九幽蚣玉
천현구유 영혼 반지	天璇九幽魂戒
천현구유 천잠	天璇九幽天蚕
천현구유 명령	天璇九幽螟灵
야행백귀번	夜行百鬼幡
천기구유 사두	天玑九幽蛇兜
천기구유 망의	天玑九幽蟒衣
천기구유 주건	天玑九幽蛛巾
천기구유 갈완	天玑九幽蝎腕
천기구유 봉화	天玑九幽蜂靴
천기구유 공옥	天玑九幽蚣玉
천기구유 영혼 반지	天玑九幽魂戒
천기구유 천잠	天玑九幽天蚕
천기구유 명령	天玑九幽螟灵
여고습신장	厉蛊袭神杖
천권구유 사두	天权九幽蛇兜
천권구유 망의	天权九幽蟒衣
천권구유 주건	天权九幽蛛巾
천권구유 갈완	天权九幽蝎腕
천권구유 봉화	天权九幽蜂靴
천권구유 공옥	天权九幽蚣玉
천권구유 영혼 반지	天权九幽魂戒
천권구유 천잠	天权九幽天蚕
천권구유 명령	天权九幽螟灵
적성명독번	摘星冥毒幡
옥형구유 사두	玉衡九幽蛇兜
옥형구유 망의	玉衡九幽蟒衣
옥형구유 주건	玉衡九幽蛛巾
옥형구유 갈완	玉衡九幽蝎腕
옥형구유 봉화	玉衡九幽蜂靴
옥형구유 공옥	玉衡九幽蚣玉
옥형구유 영혼 반지	玉衡九幽魂戒
옥형구유 천잠	玉衡九幽天蚕
옥형구유 명령	玉衡九幽螟灵
고황염혼장	孤荒染魂杖
개양구유 사두	开阳九幽蛇兜
개양구유 망의	开阳九幽蟒衣
개양구유 주건	开阳九幽蛛巾
개양구유 갈완	开阳九幽蝎腕
개양구유 봉화	开阳九幽蜂靴
개양구유 공옥	开阳九幽蚣玉
개양구유 영혼 반지	开阳九幽魂戒
개양구유 천잠	开阳九幽天蚕
개양구유 명령	开阳九幽螟灵
구유 얼독번	九幽孽毒幡
요광구유 사두	摇光九幽蛇兜
요광구유 망의	摇光九幽蟒衣
요광구유 주건	摇光九幽蛛巾
요광구유 갈완	摇光九幽蝎腕
요광구유 봉화	摇光九幽蜂靴
요광구유 공옥	摇光九幽蚣玉
요광구유 영혼 반지	摇光九幽魂戒
요광구유 천잠	摇光九幽天蚕
요광구유 명령	摇光九幽螟灵
낙혈흡명장	烙血汲命杖
현월구유 사두	玄月九幽蛇兜
현월구유 망의	玄月九幽蟒衣
현월구유 주건	玄月九幽蛛巾
현월구유 갈완	玄月九幽蝎腕
현월구유 봉화	玄月九幽蜂靴
현월구유 공옥	玄月九幽蚣玉
현월구유 영혼 반지	玄月九幽魂戒
현월구유 천잠	玄月九幽天蚕
현월구유 명령	玄月九幽螟灵
고지사혼번	古指邪魂幡
요일구유 사두	曜日九幽蛇兜
요일구유 망의	曜日九幽蟒衣
요일구유 주건	曜日九幽蛛巾
요일구유 갈완	曜日九幽蝎腕
요일구유 봉화	曜日九幽蜂靴
요일구유 공옥	曜日九幽蚣玉
요일구유 영혼 반지	曜日九幽魂戒
요일구유 천잠	曜日九幽天蚕
요일구유 명령	曜日九幽螟灵
가람귀립장	伽蓝鬼泣杖
의천구유 사두	倚天九幽蛇兜
의천구유 망의	倚天九幽蟒衣
의천구유 주건	倚天九幽蛛巾
의천구유 갈완	倚天九幽蝎腕
의천구유 봉화	倚天九幽蜂靴
의천구유 공옥	倚天九幽蚣玉
의천구유 영혼 반지	倚天九幽魂戒
의천구유 천잠	倚天九幽天蚕
의천구유 명령	倚天九幽螟灵
왕선유마번	忘仙幽魔幡
왕선구유 사두	忘仙九幽蛇兜
왕선구유 망의	忘仙九幽蟒衣
왕선구유 주건	忘仙九幽蛛巾
왕선구유 갈완	忘仙九幽蝎腕
왕선구유 봉화	忘仙九幽蜂靴
왕선구유 공옥	忘仙九幽蚣玉
왕선구유 영혼 반지	忘仙九幽魂戒
왕선구유 천잠	忘仙九幽天蚕
왕선구유 명령	忘仙九幽螟灵
염세진강검	淡世真刚剑
천추우륜 두관	天枢羽纶头冠
천추우륜 장포	天枢羽纶长袍
천추우륜 어깨받이	天枢羽纶垫肩
천추우륜 장갑	天枢羽纶手套
천추우륜 경이	天枢羽纶轻履
천추우륜 장신구	天枢羽纶坠饰
천추우륜 령계	天枢羽纶灵戒
천추우륜 천호	天枢羽纶天昊
천추우륜 자낭	天枢羽纶炙囊
곡청묘법필	谷清妙法笔
천현우륜 두관	天璇羽纶头冠
천현우륜 장포	天璇羽纶长袍
천현우륜 어깨받이	天璇羽纶垫肩
천현우륜 장갑	天璇羽纶手套
천현우륜 경이	天璇羽纶轻履
천현우륜 장신구	天璇羽纶坠饰
천현우륜 영혼 반지	天璇羽纶灵戒
천현우륜 천호	天璇羽纶天昊
천현우륜 자낭	天璇羽纶炙囊
초우절공검	秒叹绝空剑
천기우륜 두관	天玑羽纶头冠
천기우륜 장포	天玑羽纶长袍
천기우륜 어깨받이	天玑羽纶垫肩
천기우륜 장갑	天玑羽纶手套
천기우륜 경이	天玑羽纶轻履
천기우륜 장신구	天玑羽纶坠饰
천기우륜 영혼 반지	天玑羽纶灵戒
천기우륜 천호	天玑羽纶天昊
천기우륜 자낭	天玑羽纶炙囊
읍혈요금필	泣血耀金笔
천권우륜 두관	天权羽纶头冠
천권우륜 장포	天权羽纶长袍
천권우륜 어깨받이	天权羽纶垫肩
천권우륜 장갑	天权羽纶手套
천권우륜 경이	天权羽纶轻履
천권우륜 장신구	天权羽纶坠饰
천권우륜 영혼 반지	天权羽纶灵戒
천권우륜 천호	天权羽纶天昊
천권우륜 자낭	天权羽纶炙囊
등벽뢰화검	腾霹雷火剑
옥형우륜 두관	玉衡羽纶头冠
옥형우륜 장포	玉衡羽纶长袍
옥형우륜 어깨받이	玉衡羽纶垫肩
옥형우륜 장갑	玉衡羽纶手套
옥형우륜 경이	玉衡羽纶轻履
옥형우륜 장신구	玉衡羽纶坠饰
옥형우륜 영혼 반지	玉衡羽纶灵戒
옥형우륜 천호	玉衡羽纶天昊
옥형우륜 자낭	玉衡羽纶炙囊
천원민정필	天怨泯情笔
개양우륜 두관	开阳羽纶头冠
개양우륜 장포	开阳羽纶长袍
개양우륜 어깨받이	开阳羽纶垫肩
개양우륜 장갑	开阳羽纶手套
개양우륜 경이	开阳羽纶轻履
개양우륜 장신구	开阳羽纶坠饰
개양우륜 영혼 반지	开阳羽纶灵戒
개양우륜 천호	开阳羽纶天昊
개양우륜 자낭	开阳羽纶炙囊
청란구천검	青鸾九天剑
요광우륜 두관	摇光羽纶头冠
요광우륜 장포	摇光羽纶长袍
요광우륜 어깨받이	摇光羽纶垫肩
요광우륜 장갑	摇光羽纶手套
요광우륜 경이	摇光羽纶轻履
요광우륜 장신구	摇光羽纶坠饰
요광우륜 영혼 반지	摇光羽纶灵戒
요광우륜 천호	摇光羽纶天昊
요광우륜 자낭	摇光羽纶炙囊
회봉자훈필	回凤炙勋笔
현월우륜 두관	玄月羽纶头冠
현월우륜 장포	玄月羽纶长袍
현월우륜 어깨받이	玄月羽纶垫肩
현월우륜 장갑	玄月羽纶手套
현월우륜 경이	玄月羽纶轻履
현월우륜 장신구	玄月羽纶坠饰
현월우륜 영혼 반지	玄月羽纶灵戒
현월우륜 천호	玄月羽纶天昊
현월우륜 자낭	玄月羽纶炙囊
답몽현유검	踏梦玄流剑
요일우륜 두관	曜日羽纶头冠
요일우륜 장포	曜日羽纶长袍
요일우륜 어깨받이	曜日羽纶垫肩
요일우륜 장갑	曜日羽纶手套
요일우륜 경이	曜日羽纶轻履
요일우륜 장신구	曜日羽纶坠饰
요일우륜 영혼 반지	曜日羽纶灵戒
요일우륜 천호	曜日羽纶天昊
요일우륜 자낭	曜日羽纶炙囊
조화무진필	造化无尘笔
의천우륜 두관	倚天羽纶头冠
의천우륜 장포	倚天羽纶长袍
의천우륜 어깨받이	倚天羽纶垫肩
의천우륜 장갑	倚天羽纶手套
의천우륜 경이	倚天羽纶轻履
의천우륜 장신구	倚天羽纶坠饰
의천우륜 영혼 반지	倚天羽纶灵戒
의천우륜 천호	倚天羽纶天昊
의천우륜 자낭	倚天羽纶炙囊
왕선주마검	忘仙诛魔剑
왕선우륜 두관	忘仙羽纶头冠
왕선우륜 장포	忘仙羽纶长袍
왕선우륜 어깨받이	忘仙羽纶垫肩
왕선우륜 장갑	忘仙羽纶手套
왕선우륜 경이	忘仙羽纶轻履
왕선우륜 장신구	忘仙羽纶坠饰
왕선우륜 령계	忘仙羽纶灵戒
왕선우륜 천호	忘仙羽纶天昊
왕선우륜 자낭	忘仙羽纶炙囊
강마 투구	降魔战盔
강마 전시	降魔战翅 
강마 전패	降魔战佩
강마 전안	降魔战鞍
강마 전전	降魔战钿
강마 자회	降魔刺盔
강마 자시	降魔刺翅 
강마 자패	降魔刺佩
강마 자안	降魔刺鞍
강마 자전	降魔刺钿
강마 령회	降魔灵盔
강마 령시	降魔灵翅 
강마 령패	降魔灵佩
강마 령안	降魔灵鞍
강마 령전	降魔灵钿
강마 독회	降魔毒盔
강마 독시	降魔毒翅 
강마 독패	降魔毒佩
강마 독안	降魔毒鞍
강마 독전	降魔毒钿
소요 투구	逍遥战盔
소요 전시	逍遥战翅 
소요 전패	逍遥战佩
소요 전안	逍遥战鞍
소요 전전	逍遥战钿
소요 자회	逍遥刺盔
소요 자시	逍遥刺翅 
소요 자패	逍遥刺佩
소요 자안	逍遥刺鞍
소요 자전	逍遥刺钿
소요 령회	逍遥灵盔
소요 령시	逍遥灵翅 
소요 령패	逍遥灵佩
소요 령안	逍遥灵鞍
소요 령전	逍遥灵钿
소요 독회	逍遥毒盔
소요 독시	逍遥毒翅 
소요 독패	逍遥毒佩
소요 독안	逍遥毒鞍
소요 독전	逍遥毒钿
패자 투구	霸者战盔
패자 전시	霸者战翅 
패자 전패	霸者战佩
패자 전안	霸者战鞍
패자 전전	霸者战钿
패자 자회	霸者刺盔
패자 자시	霸者刺翅 
패자 자패	霸者刺佩
패자 자안	霸者刺鞍
패자 자전	霸者刺钿
패자 령회	霸者灵盔
패자 령시	霸者灵翅 
패자 령패	霸者灵佩
패자 령안	霸者灵鞍
패자 령전	霸者灵钿
패자 독회	霸者毒盔
패자 독시	霸者毒翅 
패자 독패	霸者毒佩
패자 독안	霸者毒鞍
패자 독전	霸者毒钿
주작 투구	朱雀战盔
주작 전시	朱雀战翅 
주작 전패	朱雀战佩
주작 전안	朱雀战鞍
주작 전전	朱雀战钿
주작 자회	朱雀刺盔
주작 자시	朱雀刺翅 
주작 자패	朱雀刺佩
주작 자안	朱雀刺鞍
주작 자전	朱雀刺钿
주작 령회	朱雀灵盔
주작 령시	朱雀灵翅 
주작 령패	朱雀灵佩
주작 령안	朱雀灵鞍
주작 령전	朱雀灵钿
주작 독회	朱雀毒盔
주작 독시	朱雀毒翅 
주작 독패	朱雀毒佩
주작 독안	朱雀毒鞍
주작 독전	朱雀毒钿
수정 투구	水晶战盔
수정 전시	水晶战翅 
수정 전패	水晶战佩
수정 전안	水晶战鞍
수정 전전	水晶战钿
수정 자회	水晶刺盔
수정 자시	水晶刺翅 
수정 자패	水晶刺佩
수정 자안	水晶刺鞍
수정 자전	水晶刺钿
수정 령회	水晶灵盔
수정 령시	水晶灵翅 
수정 령패	水晶灵佩
수정 령안	水晶灵鞍
수정 령전	水晶灵钿
수정 독회	水晶毒盔
수정 독시	水晶毒翅 
수정 독패	水晶毒佩
