#翻译
dailySheetName	国服日报
lost	使用持续性道具','商店出售删除','强化删除','开瓶子删除','使用道具删除','丢弃','合成删除','铭刻删除','鉴定删除','死亡掉落','到期删除 ','宠物封印删除宠物
xiaoHaoLOST	发送邮件删除','合成删除','鉴定删除','铭刻删除','强化删除','商店出售删除','死亡掉落
colorDaoJu	杏花村','屠苏酒','妙沁药酒','屠魔帖●降魔','屠魔帖●逍遥','屠魔帖●霸者','屠魔帖●朱雀','屠魔帖●水晶','屠魔帖●倚天','屠魔帖●青虹','屠魔帖●赤霄','屠魔帖●震天','屠魔帖●天罡

商城道具	宝石竹清(1级)','宝石枳香(1级)','宝石幽橘(1级)','宝石湛天(1级)','宝石墨轮(1级)','宝石炎焚(1级)','宝石混沌(1级)','宝石无相(1级)','宝石魔渊(1级)','宝石竹清(2级)','宝石枳香(2级)','宝石幽橘(2级)','宝石湛天(2级)','宝石墨轮(2级)','宝石炎焚(2级)','宝石混沌(2级)','宝石无相(2级)','宝石魔渊(2级)','宝石竹清(3级)','宝石枳香(3级)','宝石幽橘(3级)','宝石湛天(3级)','宝石墨轮(3级)','宝石炎焚(3级)','宝石混沌(3级)','宝石无相(3级)','宝石魔渊(3级)','宝石竹清(4级)','宝石枳香(4级)','宝石幽橘(4级)','宝石湛天(4级)','宝石墨轮(4级)','宝石炎焚(4级)','宝石混沌(4级)','宝石无相(4级)','宝石魔渊(4级)','宝石竹清(5级)','宝石枳香(5级)','宝石幽橘(5级)','宝石湛天(5级)','宝石墨轮(5级)','宝石炎焚(5级)','宝石混沌(5级)','宝石无相(5级)','宝石魔渊(5级)','宝石竹清(6级)','宝石枳香(6级)','宝石幽橘(6级)','宝石湛天(6级)','宝石墨轮(6级)','宝石炎焚(6级)','宝石混沌(6级)','宝石无相(6级)','宝石魔渊(6级)','宝石竹清(7级)','宝石枳香(7级)','宝石幽橘(7级)','宝石湛天(7级)','宝石墨轮(7级)','宝石炎焚(7级)','宝石混沌(7级)','宝石无相(7级)','宝石魔渊(7级)','宝石竹清(8级)','宝石枳香(8级)','宝石幽橘(8级)','宝石湛天(8级)','宝石墨轮(8级)','宝石炎焚(8级)','宝石混沌(8级)','宝石无相(8级)','宝石魔渊(8级)','宝石竹清(9级)','宝石枳香(9级)','宝石幽橘(9级)','宝石湛天(9级)','宝石墨轮(9级)','宝石炎焚(9级)','宝石混沌(9级)','宝石无相(9级)','宝石魔渊(9级)','鉴定符','铭刻符','炼星符','灵兽内丹','炼妖石

银子类道具	碎银子','银两','银块','银条','银锭','银砖','普通红包','白银红包','黄金红包','白金红包','钻石红包','镖银(白)','镖银(绿)','镖银(蓝)','镖银(紫)','镖银(橙)','镖金(白)','镖金(绿)','镖金(蓝)','镖金(紫)','镖金(橙)','镖玉(白)','镖玉(绿)','镖玉(蓝)','镖玉(紫)','镖玉(橙)
宠物蛋	地狱狼王蛋','青丘妖狐蛋','绝世花妖蛋','霸刀魔王蛋','黑风熊精蛋','金甲游神蛋','擎天牛神蛋','六耳猕猴蛋','麒麟圣祖蛋','白虎战神蛋','青龙斗神蛋','玄武水神蛋','朱雀火神蛋','九阴魔蝎蛋','青翼蝠王蛋','乱舞蝶妖蛋','罗刹鬼王蛋','嗜血剑魂蛋','千年参妖蛋','雷霆天尊蛋','大龙人蛋
飞行坐骑	爱的炫舞','浪漫今生','碧虚青鸾','八卦仙蒲','梦瞳仙鹤','乾坤葫芦','金极龙皇','焚焰火扇','深渊魔章','碧虚青鸾(1天)','碧虚青鸾(7天)','碧虚青鸾(体验)
重要碎片	青鸾翎羽','朱雀火羽','战火残片','才子印记','武圣印记','武圣印记碎片','青龙精魂','朱雀精魂','白虎精魂','玄武精魂','麒麟精魂
万灵榜装备	装备名称','猛志固常在','五岳倒为轻','日曜贪狼盔','兽面吞火铠','血魂肩铠','紫铖护手','紫铖战靴','紫铖腰带','天启戒','王天古玉','太极图','天地为一朝','蚩尤瀑布碎','火曜破军盔','魔麟饕餮铠','皇鳞肩铠','遁龙护手','遁龙战靴','遁龙腰带','暝天戒','辟邪石玉','破天图','彩凤双飞翼','风萧易水寒','东极炫金罩','东极炫金衫','东极炫金肩','东极炫金手','东极炫金鞋','赤血','噬灵戒','浮世印','转空','明月照九州','承影无形杀','青冥海狱罩','青冥海狱衫','青冥海狱肩','青冥海狱手','天妖灭魂鞋','残雪','刺尨戒','苍天印','玄曦','点睛龙破壁','玄天斩灵洛','小北炎极头','小北炎极袄','小北炎极垫肩','离火手套','离火轻履','离火坠饰','火熔晶','火熔项链','逆央镜','泼墨碧丹青','血晶摩诃惑','海水江崖头','海水江崖袄','海水江崖垫肩','玄冰手套','玄冰轻履','玄冰坠饰','婆罗戒','婆罗项链','玄冰境','一岁一枯荣','本来无一物','乾坤地理蛇兜','乾坤地理裙','千幻蛛巾','千幻蝎腕','千幻道履','千幻腰带','封魔戒','落魂钟','毒王鼎','凤歌楚狂人','醉古堂剑扫','九黎太虚蛇兜','九黎太虚衫','蛟龙蛛巾','蛟龙蝎腕','蛟龙木履','蛟龙腰带','万魔戒','坤木蛊','星罗盘','朱雀斧','武圣禅杖','战火甲胄','朱雀刺','武圣轮','战火衫','朱雀笔','武圣剑','战火袄','朱雀幡','武圣杖','战火蟒衣
酒	杏花村','屠苏酒','妙沁药酒
屠魔帖	屠魔帖●降魔','屠魔帖●逍遥','屠魔帖●霸者','屠魔帖●朱雀','屠魔帖●水晶','屠魔帖●倚天','屠魔帖●青虹','屠魔帖●赤霄','屠魔帖●震天','屠魔帖●天罡
古董	古董


#渠道集合
安拓1	ANTUO_MIESHI','ANTUO2_MIESHI
N多	nduoa_MIESHI','nduo2_MIEHSI
P9P9	P9P9_MIESHI','P9P901_MIESHI
weiyun_MIESHI	weiyun_MIESHI','weiyun2_MIESHI
爱贝	IAPPPAY01_MIESHI','IAPPPAY05_MIESHI
爱皮	APPDEAR001_MIESHI','APPDEAR002_MIESHI
淡鼎	WANGWEB_MIESHI','WANGWEB01_MIESHI
点金	DIANJIN_MIESHI','DIANJIN01_MIESHI
金立	JINLI_MIESHI','JINLI2_MIESHI
琵琶网	piba_MIESHI','PIBAIOS_MIESHI
苹果园	APP111_MIESHI','APP112_MIESHI
三星	samsungapps_MIESHI','SAMSUNGSDK_MIESHI
万普	WANPU_MIESHI','WANPU01_MIESHI
野火	YEHUO_MIESHI','YEHUOTONG_MIEHSI
易蛙	YEAHYOO001_MIESHI','YEAHYOO002_MIESHI','YEAHYOO003_MIESHI','YEAHYOO004_MIESHI','YEAHYOO005_MIESHI
易蛙ios01	yeahyooi01_MIESHI','yeahyooi02_MIESHI','yeahyooi03_MIESHI','yeahyooi001_MIESHI
51	51yxsq_MIESHI','51yxsq2_MIESHI','51yxsq3_MIESHI','51yxsq4_MIESHI','51yxsq5_MIESHI','51yxsq6_MIESHI','51yxsq7_MIESHI','51yxsq8_MIESHI','51yxsq9_MIESHI','51yxsq10_MIESHI
360	360SDK_MIESHI','360JIEKOU_MIESHI','360JIEKOU01_MIESHI
553sdk用户	553SDK_MIESHI','553SDK01_MIESHI','553SDK02_MIESHI','553SDK03_MIESHI','553SDK04_MIESHI','553SDK05_MIESHI','553SDK06_MIESHI','553SDK07_MIESHI','553SDK08_MIESHI','553SDK09_MIESHI','553SDK10_MIESHI','553SDK11_MIESHI','553SDK12_MIESHI','553SDK13_MIESHI','553SDK14_MIESHI','553SDK15_MIESHI','553SDK16_MIESHI','553SDK17_MIESHI','553SDK18_MIESHI','553SDK19_MIESHI','553SDK20_MIESHI','553SDK21_MIESHI','553SDK22_MIESHI','553SDK23_MIESHI','553SDK24_MIESHI','553SDK25_MIESHI','553SDK26_MIESHI','553SDK27_MIESHI','553SDK28_MIESHI','553SDK29_MIESHI','553SDK30_MIESHI
anzhi	anzhi_MIESHI','ANZHISDK_MIESHI
dcn用户	DCN_MIESHI','DCN01_MIESHI','DCN02_MIESHI','DCN03_MIESHI','DCN04_MIESHI','DCN05_MIESHI','DCN06_MIESHI','DCN07_MIESHI','DCN08_MIESHI','DCN09_MIESHI','DCN10_MIESHI','DCN11_MIESHI','DCN12_MIESHI','DCN13_MIESHI','DCN14_MIESHI','DCN15_MIESHI','DCN16_MIESHI','DCN17_MIESHI','DCN18_MIESHI','DCN19_MIESHI','DCN20_MIESHI','DCN21_MIESHI','DCN22_MIESHI','DCN23_MIESHI','DCN24_MIESHI','DCN25_MIESHI
duoku用户	BAIDUYY_MIESHI','duokuApi_MIESHI
feiliu用户	feiliu_MIESHI','feiliu2_MIESHI','feiliu3_MIESHI','feiliu4_MIESHI','feiliu5_MIESHI','feiliu6_MIESHI
gfan_MIESHI用户	gfan_MIESHI','GFAN01_MIESHI
jiyou	jiyou_MIESHI','jiyou1_MIESHI','jiyou2_MIESHI','jiyou3_MIESHI','jiyou4_MIESHI','jiyou5_MIESHI','jiyou6_MIESHI
LEXUN用户	LEXUN01_MIESHI','LEXUN02_MIESHI
PPZHUSHOU	PPZHUSHOU_MIESHI','PPZHUSHOULINSHI_MIESHI
SHENGDA	SHENGDA1_MIESHI,SHENGDA2_MIESHI,SHENGDA3_MIESHI,SHENGDA4_MIESHI,SHENGDA5_MIESHI,SHENGDA6_MIESHI,SHENGDA7_MIESHI,SHENGDA8_MIESHI
smtmobi用户	smtmobi01_mieshi','smtmobi01_MIESHI','smtmobi02_MIEHSI','smtmobi03_MIEHSI','SMTMOBI_MIESHI
tongbu	tongbu_MIESHI','TBTNEWSDK_MIESHI','TBTSDK_MIESHI
UC用户	UC_MIESHI','UC01_MIESHI','UC02_MIESHI','UC03_MIESHI','UC04_MIESHI','UC05_MIESHI','UC06_MIESHI','UC07_MIESHI','UC08_MIESHI','UC09_MIESHI','UC10_MIESHI','UC11_MIESHI','UC12_MIESHI','UC13_MIESHI','UC14_MIESHI','UC15_MIESHI','UC16_MIESHI','UC17_MIESHI','UC18_MIESHI','UCSDK_MIESHI','UCNEWSDK_MIESHI
xiaomiyx_MIESHI用户	xiaomiyx_MIESHI','XIAOMISDK_MIESHI','XIAOMISDK02_MIESHI


#渠道集合里的渠道,产生日报时候，这些渠道已经 包含在渠道集合里，因此要从日报中剔除
ANTUO_MIESHI	ANTUO_MIESHI
ANTUO2_MIESHI	ANTUO2_MIESHI
51yxsq_MIESHI	51yxsq_MIESHI
51yxsq2_MIESHI	51yxsq2_MIESHI
51yxsq3_MIESHI	51yxsq3_MIESHI
51yxsq4_MIESHI	51yxsq4_MIESHI
51yxsq5_MIESHI	51yxsq5_MIESHI
51yxsq6_MIESHI	51yxsq6_MIESHI
51yxsq7_MIESHI	51yxsq7_MIESHI
51yxsq8_MIESHI	51yxsq8_MIESHI
51yxsq9_MIESHI	51yxsq9_MIESHI
51yxsq10_MIESHI	51yxsq10_MIESHI
360SDK_MIESHI	360SDK_MIESHI
360JIEKOU_MIESHI	360JIEKOU_MIESHI
360JIEKOU01_MIESHI	360JIEKOU01_MIESHI
553SDK_MIESHI	553SDK_MIESHI
553SDK01_MIESHI	553SDK01_MIESHI
553SDK02_MIESHI	553SDK02_MIESHI
553SDK03_MIESHI	553SDK03_MIESHI
553SDK04_MIESHI	553SDK04_MIESHI
553SDK05_MIESHI	553SDK05_MIESHI
553SDK06_MIESHI	553SDK06_MIESHI
553SDK07_MIESHI	553SDK07_MIESHI
553SDK08_MIESHI	553SDK08_MIESHI
553SDK09_MIESHI	553SDK09_MIESHI
553SDK10_MIESHI	553SDK10_MIESHI
553SDK11_MIESHI	553SDK11_MIESHI
553SDK12_MIESHI	553SDK12_MIESHI
553SDK13_MIESHI	553SDK13_MIESHI
553SDK14_MIESHI	553SDK14_MIESHI
553SDK15_MIESHI	553SDK15_MIESHI
553SDK16_MIESHI	553SDK15_MIESHI
553SDK17_MIESHI	553SDK15_MIESHI
553SDK18_MIESHI	553SDK18_MIESHI
553SDK19_MIESHI	553SDK19_MIESHI
553SDK20_MIESHI	553SDK20_MIESHI
553SDK21_MIESHI	553SDK21_MIESHI
553SDK22_MIESHI	553SDK22_MIESHI
553SDK23_MIESHI	553SDK23_MIESHI
553SDK24_MIESHI	553SDK24_MIESHI
553SDK25_MIESHI	553SDK25_MIESHI
553SDK26_MIESHI	553SDK26_MIESHI
553SDK27_MIESHI	553SDK27_MIESHI
553SDK28_MIESHI	553SDK28_MIESHI
553SDK29_MIESHI	553SDK29_MIESHI
553SDK30_MIESHI	553SDK30_MIESHI
anzhi_MIESHI	anzhi_MIESHI
ANZHISDK_MIESHI	ANZHISDK_MIESHI
APP111_MIESHI	APP111_MIESHI
APP112_MIESHI	APP112_MIESHI
APPDEAR001_MIESHI	APPDEAR001_MIESHI
APPDEAR002_MIESHI	APPDEAR002_MIESHI
DCN_MIESHI	DCN_MIESHI
DCN01_MIESHI	DCN01_MIESHI
DCN02_MIESHI	DCN02_MIESHI
DCN03_MIESHI	DCN03_MIESHI
DCN04_MIESHI	DCN04_MIESHI
DCN05_MIESHI	DCN05_MIESHI
DCN06_MIESHI	DCN06_MIESHI
DCN07_MIESHI	DCN07_MIESHI
DCN08_MIESHI	DCN08_MIESHI
DCN09_MIESHI	DCN09_MIESHI
DCN10_MIESHI	DCN10_MIESHI
DCN11_MIESHI	DCN11_MIESHI
DCN12_MIESHI	DCN12_MIESHI
DCN13_MIESHI	DCN13_MIESHI
DCN14_MIESHI	DCN14_MIESHI
DCN15_MIESHI	DCN15_MIESHI
DCN16_MIESHI	DCN16_MIESHI
DCN17_MIESHI	DCN17_MIESHI
DCN18_MIESHI	DCN18_MIESHI
DCN19_MIESHI	DCN19_MIESHI
DCN20_MIESHI	DCN20_MIESHI
DCN21_MIESHI	DCN21_MIESHI
DCN22_MIESHI	DCN22_MIESHI
DCN23_MIESHI	DCN23_MIESHI
DCN24_MIESHI	DCN24_MIESHI
DCN25_MIESHI	DCN25_MIESHI
DIANJIN_MIESHI	DIANJIN_MIESHI
DIANJIN01_MIESHI	DIANJIN01_MIESHI
BAIDUYY_MIESHI	BAIDUYY_MIESHI
duokuApi_MIESHI	duokuApi_MIESHI
feiliu_MIESHI	feiliu_MIESHI
feiliu2_MIESHI	feiliu2_MIESHI
feiliu3_MIESHI	feiliu3_MIESHI
feiliu4_MIESHI	feiliu4_MIESHI
feiliu5_MIESHI	feiliu5_MIESHI
feiliu6_MIESHI	feiliu6_MIESHI
gfan_MIESHI	gfan_MIESHI
GFAN01_MIESHI	GFAN01_MIESHI
IAPPPAY01_MIESHI	IAPPPAY01_MIESHI
IAPPPAY05_MIESHI	IAPPPAY05_MIESHI
JINLI_MIESHI	JINLI_MIESHI
JINLI2_MIESHI	JINLI2_MIESHI
jiyou_MIESHI	jiyou_MIESHI
jiyou1_MIESHI	jiyou1_MIESHI
jiyou2_MIESHI	jiyou2_MIESHI
jiyou3_MIESHI	jiyou3_MIESHI
jiyou4_MIESHI	jiyou4_MIESHI
jiyou5_MIESHI	jiyou5_MIESHI
jiyou6_MIESHI	jiyou6_MIESHI
LEXUN01_MIESHI	LEXUN01_MIESHI
LEXUN02_MIESHI	LEXUN02_MIESHI
nduoa_MIESHI	nduoa_MIESHI
nduo2_MIEHSI	nduo2_MIEHSI
P9P9_MIESHI	P9P9_MIESHI
P9P901_MIESHI	P9P901_MIESHI
piba_MIESHI	piba_MIESHI
PIBAIOS_MIESHI	PIBAIOS_MIESHI
PPZHUSHOU_MIESHI	PPZHUSHOU_MIESHI
PPZHUSHOULINSHI_MIESHI	PPZHUSHOULINSHI_MIESHI
samsungapps_MIESHI	samsungapps_MIESHI
SAMSUNGSDK_MIESHI	SAMSUNGSDK_MIESHI
SHENGDA1_MIESHI	SHENGDA1_MIESHI
SHENGDA2_MIESHI	SHENGDA2_MIESHI
SHENGDA3_MIESHI	SHENGDA3_MIESHI
SHENGDA4_MIESHI	SHENGDA4_MIESHI
SHENGDA5_MIESHI	SHENGDA5_MIESHI
SHENGDA6_MIESHI	SHENGDA6_MIESHI
SHENGDA7_MIESHI	SHENGDA7_MIESHI
SHENGDA8_MIESHI	SHENGDA8_MIESHI
smtmobi01_mieshi	smtmobi01_mieshi
smtmobi01_MIESHI	smtmobi01_MIESHI
smtmobi02_MIEHSI	smtmobi02_MIEHSI
smtmobi03_MIEHSI	smtmobi03_MIEHSI
SMTMOBI_MIESHI	SMTMOBI_MIESHI
tongbu_MIESHI	tongbu_MIESHI
TBTNEWSDK_MIESHI	TBTNEWSDK_MIESHI
TBTSDK_MIESHI	TBTSDK_MIESHI
UC_MIESHI	UC_MIESHI
UC01_MIESHI	UC01_MIESHI
UC02_MIESHI	UC02_MIESHI
UC03_MIESHI	UC03_MIESHI
UC04_MIESHI	UC04_MIESHI
UC05_MIESHI	UC05_MIESHI
UC06_MIESHI	UC06_MIESHI
UC07_MIESHI	UC07_MIESHI
UC08_MIESHI	UC08_MIESHI
UC09_MIESHI	UC09_MIESHI
UC10_MIESHI	UC10_MIESHI
UC11_MIESHI	UC11_MIESHI
UC12_MIESHI	UC12_MIESHI
UC13_MIESHI	UC13_MIESHI
UC14_MIESHI	UC14_MIESHI
UC15_MIESHI	UC15_MIESHI
UC16_MIESHI	UC16_MIESHI
UC17_MIESHI	UC17_MIESHI
UC18_MIESHI	UC18_MIESHI
UCSDK_MIESHI	UCSDK_MIESHI
WANGWEB_MIESHI	WANGWEB_MIESHI
WANGWEB01_MIESHI	WANGWEB01_MIESHI
WANPU_MIESHI	WANPU_MIESHI
WANPU01_MIESHI	WANPU01_MIESHI
weiyun_MIESHI	weiyun_MIESHI
weiyun2_MIESHI	weiyun2_MIESHI
xiaomiyx_MIESHI	xiaomiyx_MIESHI
XIAOMISDK_MIESHI	XIAOMISDK_MIESHI
XIAOMISDK02_MIESHI	XIAOMISDK02_MIESHI
YEAHYOO001_MIESHI	YEAHYOO001_MIESHI
YEAHYOO002_MIESHI	YEAHYOO002_MIESHI
YEAHYOO003_MIESHI	YEAHYOO003_MIESHI
YEAHYOO004_MIESHI	YEAHYOO004_MIESHI
YEAHYOO005_MIESHI	YEAHYOO005_MIESHI
yeahyooi001_MIESHI	yeahyooi001_MIESHI
yeahyooi01_MIESHI	yeahyooi01_MIESHI
yeahyooi02_MIESHI	yeahyooi02_MIESHI
yeahyooi03_MIESHI	yeahyooi03_MIESHI
YEHUO_MIESHI	YEHUO_MIESHI
YEHUOTONG_MIEHSI	YEHUOTONG_MIEHSI
